pertanyaan,jawaban
apa isi dari pasal 12 ayat (3) huruf 0,"isi dari pasal tersebut adalah: setiap tindak pidana selalu bersifat melawan hukum, kecuali ada alasan pembenar."
apa isi dari pasal 13 ayat (1) huruf 0,isi dari pasal tersebut adalah: permufakatan jahat terjadi jika 2 (dua) orang atau lebih bersepakat untuk melakukan tindak pidana.
apa isi dari pasal 13 ayat (2) huruf 0,isi dari pasal tersebut adalah: permufakatan jahat melakukan tindak pidana dipidana jika ditentukan secara tegas dalam undang-undang.
apa isi dari pasal 13 ayat (3) huruf 0,isi dari pasal tersebut adalah: pidana untuk permufakatan jahat melakukan tindak pidana paling banyak i /3 (satu per tiga) dari maksimum ancaman pidana pokok untuk tindak pidana yang bersangkutan.
apa isi dari pasal 13 ayat (4) huruf 0,isi dari pasal tersebut adalah: permufakatan jahat melakukan tindak pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup dipidana dengan pidana penjara paling lama 7 (tujuh) tahun.
apa isi dari pasal 13 ayat (5) huruf 0,isi dari pasal tersebut adalah: pidana tambahan untuk permufakatan jahat melakukan tindak pidana sama dengan pidana tambahan untuk tindak pidana yang bersangkutan.
apa isi dari pasal 14 ayat (0) huruf 0,"isi dari pasal tersebut adalah: permufakatan jahat melakukan tindak pidana tidak dipidana, jika pelaku:"
apa isi dari pasal 14 ayat (0) huruf a,isi dari pasal tersebut adalah: menarik diri dari kesepakatan itu; atau
apa isi dari pasal 14 ayat (0) huruf b,isi dari pasal tersebut adalah: melakukan tindakan yang patut untuk mencegah terjadinya tindak pidana.
apa isi dari pasal 15 ayat (1) huruf 0,"isi dari pasal tersebut adalah: persiapan melakukan tindak pidana terjadi jika pelaku berusaha untuk mendapatkan atau menyiapkan sarana berupa alat, mengumpulkan informasi atau men5rusun perencanaan tindakan, atau melakukan tindakan serupa yang dimaksudkan untuk menciptakan kondisi untuk dilakukannya suatu perbuatan yang secara langsung ditujukan bagi penyelesaian tindak pidana."
apa isi dari pasal 15 ayat (2) huruf 0,"isi dari pasal tersebut adalah: persiapan melakukan tindak pidana dipidana, jika ditentukan secara tegas dalam undang-undang."
apa isi dari pasal 15 ayat (3) huruf 0,isi dari pasal tersebut adalah: pidana untuk persiapan melakukan tindak pidana paling banyak l/2 (satu per dua) dari maksimum ancarnan pidana pokok untuk tindak pidana yang bersangkutan.
apa isi dari pasal 15 ayat (4) huruf 0,isi dari pasal tersebut adalah: persiapan melakukan tindak pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup dipidana dengan pidana penjara paling lama 10 (sepuluh) tahun.
apa isi dari pasal 15 ayat (5) huruf 0,isi dari pasal tersebut adalah: pidana tambahan untuk persiapan melakukan tindak pidana sama dengan pidana tambahan untuk tindak pidana yang bersangkutan.
apa isi dari pasal 16 ayat (0) huruf 0,isi dari pasal tersebut adalah: persiapan melakukan tindak pidana tidak dipidana jika pelaku menghentikan atau mencegah kemungkinan terciptanya kondisi sebagaimana dimaksud dalam pasal 15 ayat (1).
apa isi dari pasal 17 ayat (1) huruf 0,"isi dari pasal tersebut adalah: percobaan melakukan tindak pidana terjadi jika niat pelaku telah nyata dari adanya permulaan pelaksanaan dari tindak pidana yang ditqju, tetapi pelaksanaannya tidak selesai, tidak mencapai hasil, atau tidak menimbulkan akibat yang dilarang, bukan karena semata-mata atas kehendaknya sendiri."
apa isi dari pasal 17 ayat (2) huruf 0,isi dari pasal tersebut adalah: permulaan pelaksanaan sebagaimana dimaksud pada ayat (1) terjadi jika:
apa isi dari pasal 17 ayat (2) huruf a,isi dari pasal tersebut adalah: perbuatan yang dilakukan itu diniatkan atau ditqiukan untuk te{adinya tindak pidana; dan
apa isi dari pasal 17 ayat (2) huruf b,isi dari pasal tersebut adalah: perbuatan yang dilakukan langsung berpotensi menimbulkan tindak pidana yang dituju.
apa isi dari pasal 17 ayat (3) huruf 0,isi dari pasal tersebut adalah: pidana untuk percobaan melakukan tindak pidana paling banyak 2/3 (dua per tiga) dari maksimum ancarnan pidana pokok untuk tindak pidana yang bersangkutan
apa isi dari pasal 17 ayat (4) huruf 0,"isi dari pasal tersebut adalah: percobaan melakukan tindak pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 17 ayat (5) huruf 0,isi dari pasal tersebut adalah: pidana tambahan untuk percobaan melakukan tindak pidana sama dengan pidana tambahan untuk tindak pidana yang bersangkutan.
apa isi dari pasal 18 ayat (1) huruf 0,isi dari pasal tersebut adalah: percobaan melakukan tindak pidana tidak dipidana jika pelaku setelah melakukan permulaan pelaksanaan sebagaimana dimaksud dalam pasal 17 ayat (1):
apa isi dari pasal 18 ayat (1) huruf a,isi dari pasal tersebut adalah: tidak menyelesaikan perbuatannya karena kehendaknya sendiri secara sukarela; atau
apa isi dari pasal 18 ayat (1) huruf b,isi dari pasal tersebut adalah: dengan kehendaknya sendiri mencegah tercapainya tqiuan atau akibat perbuatannya.
apa isi dari pasal 18 ayat (2) huruf 0,"isi dari pasal tersebut adalah: dalam hal percobaan sebagaimana dimaksud pada ayat (1) telah menimbulkan kerugian atau menurut peraturan perundang-undangan mempakan tindak pidana tersendiri, pelaku dapat dipertanggungiawabkan untuk tindak pidana tersebut."
apa isi dari pasal 19 ayat (0) huruf 0,"isi dari pasal tersebut adalah: percobaan melakukan tindak pidana yang hanya diancam dengan pidana denda paling banyak kategori ii, tidak dipidana"
apa isi dari pasal 20 ayat (0) huruf 0,isi dari pasal tersebut adalah: setiap orang dipidana sebagai pelaku tindak pidana jika:
apa isi dari pasal 20 ayat (0) huruf a,isi dari pasal tersebut adalah: melakukan sendiri tindak pidana;
apa isi dari pasal 20 ayat (0) huruf b,isi dari pasal tersebut adalah: melakukan tindak pidana dengan perantaraan alat atau menyuruh orang lain yang tidak dapat dipertan ggun gj awabkan ;
apa isi dari pasal 20 ayat (0) huruf c,isi dari pasal tersebut adalah: turut serta melakukan tindak pidana; atau
apa isi dari pasal 20 ayat (0) huruf d,"isi dari pasal tersebut adalah: menggerakkan orang lain supaya melakukan tindak pidana dengan cara memberi atau menjanjikan sesuatu, menyalahgunakan kekuasaan atau martabat, melakukan kekerasan, menggunakan ancaman kekerasan, melakukan penyesatan, atau dengan memberi kesempatan, sarana, atau keterangan."
apa isi dari pasal 21 ayat (1) huruf 0,isi dari pasal tersebut adalah: setiap orang dipidana sebagai pembantu tindak pidana jika dengan sengaja:
apa isi dari pasal 21 ayat (1) huruf a,"isi dari pasal tersebut adalah: memberi kesempatan, sar€rna, atau keterangan untuk melakukan tindak pidana; atau"
apa isi dari pasal 21 ayat (1) huruf b,isi dari pasal tersebut adalah: memberi bantuan pada waktu tindak pidana dilakukan.
apa isi dari pasal 21 ayat (2) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku untuk pembantuan melakukan tindak pidana yang hanya diancam dengan pidana denda paling banyak kategori ii.
apa isi dari pasal 21 ayat (3) huruf 0,isi dari pasal tersebut adalah: pidana untuk pembantuan melakukan tindak pidana paling banyak 213 (dua per tiga) dari maksimum ancarnan pidana pokok untuk tindak pidana yang bersangkutan.
apa isi dari pasal 21 ayat (4) huruf 0,"isi dari pasal tersebut adalah: pembantuan melakukan tindak pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 21 ayat (5) huruf 0,isi dari pasal tersebut adalah: pidana tambahan untuk pembantuan melakukan tindak pidana sama dengan pidana tambahan untuk tindak pidana yang bersangkutan.
apa isi dari pasal 22 ayat (0) huruf 0,"isi dari pasal tersebut adalah: keadaan pribadi pelaku sebagaimana dimaksud dalam pasal 2o atau pembantu sebagaimana dimaksud dalam pasal 21 dapat menghapus, mengurangi, atau memperberat pidananya."
apa isi dari pasal 23 ayat (1) huruf 0,isi dari pasal tersebut adalah: pengulangan tindak pidana terjadi jika setiap orang:
apa isi dari pasal 23 ayat (1) huruf a,isi dari pasal tersebut adalah: melakukan tindak pidana kembali dalam waktu 5 (lima) tahun setelah menjalani seluruh atau sebagian pidana pokok yang dijatuhkan atau pidana pokok yang dijatuhkan telah dihapuskan; atau
apa isi dari pasal 23 ayat (1) huruf b,"isi dari pasal tersebut adalah: pada waktu melakukan tindak pidana, kewajiban menjalani pidana pokok yang dijatuhkan terdahulu belum kedaluwarsa."
apa isi dari pasal 23 ayat (2) huruf 0,"isi dari pasal tersebut adalah: tindak pidana sebagaimana dimaksud pada ayat (1) lnencakup tindak pidana yang diancam dengan pidana minimum khusus, pidana penjara 4 (empat) tahun atau lebih, atau pidana denda paling sedikit kategori iii."
apa isi dari pasal 23 ayat (3) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud pada ayat (1) juga berlaku untuk tindak pidana mengenai penganiayaan.
apa isi dari pasal 24 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dalam hal tertentu, pelaku tindak pidana hanya dapat dituntut atas dasar pengaduan"
apa isi dari pasal 24 ayat (2) huruf 0,isi dari pasal tersebut adalah: tindak pidana aduan harus ditentukan secara tegas dalam undang-undang.
apa isi dari pasal 25 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dalam hal korban tindak pidana aduan belum berumur 16 (enam belas) tahun, yang berhak mengadu merupakan orang t\ra atau walinya."
apa isi dari pasal 25 ayat (2) huruf 0,"isi dari pasal tersebut adalah: dalam hal orang t\ra atau wali sebagaimana dimaksud pada ayat (l) tidak ada atau orang t\ra atau wali itu sendiri yang harus diadukan, pengaduan dilakukan oleh keluarga sedarah dalam garis lurus."
apa isi dari pasal 25 ayat (3) huruf 0,"isi dari pasal tersebut adalah: dalam hal keluarga sedarah dalam garis lurus sebagaimana dimaksud pada ayat (2) tidak ada, pengaduan dilakukan oleh keluarga sedarah dalam garis menyamping sampai derqiat ketiga."
apa isi dari pasal 25 ayat (4) huruf 0,"isi dari pasal tersebut adalah: dalam hal korban tindak pidana sebagaimana dimaksud pada ayat (1) tidak memiliki orang tua, wali, atau keluarga sedarah dalam garis lurus ke atas ataupun menyamping sampai derajat ketiga, pengaduan dilakukan oleh diri sendiri dan/atau pendamping."
apa isi dari pasal 26 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dalam hal korban tindak pidana aduan berada di bawah pengampuan, yang berhak mengadu merupakan pengampunya, kecuali bagi korban tindak pidana aduan yang berada dalam pengampuan karena boros."
apa isi dari pasal 26 ayat (2) huruf 0,"isi dari pasal tersebut adalah: dalam hal pengampu sebagaimana dimaksud pada ayat (1) tidak ada atau pengampu itu sendiri yang hanrs diadukan, pengaduan dilakukan oleh suami atau istri korban atau keluarga sedarah dalam garis lurus"
apa isi dari pasal 26 ayat (3) huruf 0,"isi dari pasal tersebut adalah: dalam hal suami atau istri korban atau keluarga sedarah dalam garis lurus sebagaimana dimaksud pada ayat (21 tidak ada, pengaduan dilakukan oleh keluarga sedarah dalam garis menyamping sampai derajat ketiga."
apa isi dari pasal 27 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dalam hal korban tindak pidana aduan meninggal dunia, pengaduan dapat dilakukan oleh orang t\ra, anak, suami, atau istri korban, kecuali jika korban sebelumnya secara tegas tidak menghendaki adanya penuntutan."
apa isi dari pasal 28 ayat (1) huruf 0,isi dari pasal tersebut adalah: pengaduan dilakukan dengan cara menyampaikan pemberitahuan dan permohonan untuk dituntut.
apa isi dari pasal 28 ayat (2) huruf 0,isi dari pasal tersebut adalah: pengaduan sebagaimana dimaksud pada ayat (1) diajukan secara lisan atau tertulis kepada pejabat yang berwenang.
apa isi dari pasal 29 ayat (1) huruf 0,isi dari pasal tersebut adalah: pengaduan harus diajukan dalam tenggang waktu:
apa isi dari pasal 29 ayat (1) huruf a,isi dari pasal tersebut adalah: 6 (enam) bulan terhitung sejak tanggal orang yang berhak mengadu mengetahui adanya tindak pidana jika yang berhak mengadu bertempat tinggal di wilayah negara kesatuan republik indonesia; atau
apa isi dari pasal 29 ayat (1) huruf b,isi dari pasal tersebut adalah: 9 (sembilan) bulan terhitung sejak tanggal orang yang berhak mengadu mengetahui adanya tindak pidana jika yang berhak mengadu bertempat tinggal di luar wilayah negara kesatuan republik indonesia.
apa isi dari pasal 29 ayat (2) huruf 0,"isi dari pasal tersebut adalah: jika yang berhak mengadu lebih dari 1 (satu) orang, tenggang waktu sebagaimana dimaksud pada ayat (1) dihitung sejak tanggal masing-masing pengadu mengetahui adanya tindak pidana."
apa isi dari pasal 30 ayat (1) huruf 0,isi dari pasal tersebut adalah: pengaduan dapat ditarik kembali oleh pengadu dalam waktu 3 (tiga) bulan terhitung sejak tanggal pengaduan diajukan.
apa isi dari pasal 30 ayat (2) huruf 0,isi dari pasal tersebut adalah: pengaduan yang ditarik kembali tidak dapat diajukan lagi.
apa isi dari pasal 31 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan perbuatan yang dilarang tidak dipidana, jika perbuatan tersebut dilakukan untuk melaksanakan ketentuan peraturan perundang-undangan."
apa isi dari pasal 32 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan perbuatan yang dilarang tidak dipidana, jika perbuatan tersebut dilakukan untuk melaksanakan perintah jabatan dari pejabat yang berwenang."
apa isi dari pasal 33 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan perbuatan yang dilarang tidak dipidana, jika perbuatan tersebut dilakukan karena keadaan darurat."
apa isi dari pasal 34 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang terpaksa melakukan perbuatan yang dilarang tidak dipidana, jika perbuatan tersebut dilakukan karena pembelaan terhadap serangan atau ancarnan serangan seketika yang melawan hukum terhadap diri sendiri atau orang lain, kehormatan dalam arti kesusilaan, atau harta benda sendiri atau orang lain."
apa isi dari pasal 35 ayat (0) huruf 0,isi dari pasal tersebut adalah: ketiadaan sifat melawan hukum dari tindak pidana sebagaimana dimaksud dalam pasal 12 ayal (2) merupakan alasan pembenar.
apa isi dari pasal 36 ayat (1) huruf 0,isi dari pasal tersebut adalah: setiap orang hanya dapat dimintai pertanggungjawaban atas tindak pidana yang dilakukan dengan sengaja atau karena kealpaan.
apa isi dari pasal 36 ayat (2) huruf 0,"isi dari pasal tersebut adalah: perbuatan yang dapat dipidana merupakan tindak pidana yang dilakukan dengan sengaja, sedangkan tindak pidana yang dilakukan karena kealpaan dapat dipidana jika secara tegas ditentukan dalam peraturan perundang-undangan."
apa isi dari pasal 37 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dalam hal ditentukan oleh undang-undang, setiap orang dapat:"
apa isi dari pasal 37 ayat (0) huruf a,isi dari pasal tersebut adalah: dipidana semata-mata karena telah dipenuhinya unsur unsur tindak pidana tanpa memperhatikan adanya kesalahan; atau
apa isi dari pasal 37 ayat (0) huruf b,isi dari pasal tersebut adalah: dimintai pertanggungiawaban atas tindak pidana yang dilakukan oleh orang lain.
apa isi dari pasal 38 ayat (0) huruf 0,isi dari pasal tersebut adalah: setiap orang yang pada waktu melakukan tindak pidana menyandang disabilitas mental dan/atau disabilitas intelektual dapat dikurangi pidananya dan/atau dikenai tindakan.
apa isi dari pasal 39 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang pada waktu melakukan tindak pidana menyandang disabilitas mental yang dalam keadaan kekambuhan akut dan disertai gambaran psikotik dan/ atau disabilitas intelektual derajat sedang atau berat tidak dapat dijatuhi pidana, tetapi dapat dikenai tindakan."
apa isi dari pasal 40 ayat (0) huruf 0,isi dari pasal tersebut adalah: pertanggunglawaban pidana tidak dapat dikenakan terhadap anak yang pada waktu melakukan tindak pidana belum berumur 12 (dua belas) tahun.
apa isi dari pasal 41 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dalam hal anak yang belum berumur 12 (dua belas) tahun melakukan atau diduga melakukan tindak pidana, penyidik, pembimbing kemasyarakatan, dan pekerja sosial profesional mengambil keputusan untuk:"
apa isi dari pasal 41 ayat (0) huruf a,isi dari pasal tersebut adalah: menyerahkan kembali kepada orang t\ra/wali; atau
apa isi dari pasal 41 ayat (0) huruf b,"isi dari pasal tersebut adalah: mengikutsertakan dalam program pendidikan, pembinaan, dan pembimbingan di instansi pemerintah atau lembaga penyelenggaraan kesejahteraan sosial di instansi yang menangani bidang kesejahteraan sosial, baik pada tingkat pusat maupun daerah, paling lama 6 (enam) bulan"
apa isi dari pasal 42 ayat (0) huruf 0,isi dari pasal tersebut adalah: setiap orang yang melakukan tindak pidana tidak dipidana karena:
apa isi dari pasal 42 ayat (0) huruf a,isi dari pasal tersebut adalah: dipaksa oleh kekuatan yang tidak dapat ditahan; atau
apa isi dari pasal 42 ayat (0) huruf b,"isi dari pasal tersebut adalah: dipaksa oleh adanya ancarnan, tekanan, atau kekuatan yang tidak dapat dihindari."
apa isi dari pasal 43 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan pembelaan terpaksa yang melampaui batas yang langsung disebabkan keguncangan jiwa yang hebat karena serangan atau ancaman ser€rngan seketika yang melawan hukum, tidak dipidana."
apa isi dari pasal 44 ayat (0) huruf 0,"isi dari pasal tersebut adalah: perintah jabatan yang diberikan tanpa wewenang tidak mengakibatkan hapusnya pidana, kecuali jika orang yang diperintahkan dengan iktikad baik mengira bahwa perintah tersebut diberikan dengan wewenang dan pelaksanaannya, termasuk dalam lingkup pekerjaannya."
apa isi dari pasal 45 ayat (1) huruf 0,isi dari pasal tersebut adalah: korporasi merupakan subjek tindak pidana.
apa isi dari pasal 45 ayat (2) huruf 0,"isi dari pasal tersebut adalah: korporasi sebagaimana dimaksud pada ayat (1) mencakup badan hukum yang berbentuk perseroan terbatas, yayasan, koperasi, badan usaha milik negara, badan usaha milik daerah, atau yang disamakan dengan itu, serta perkumpulan baik yang berbadan hukum maupun tidak berbadan hukum, badan usaha yang berbentuk lirma, persekutuan komanditer, atau yang disamakan dengan itu sesuai dengan ketentuan peraturan perundang-undangan."
apa isi dari pasal 46 ayat (0) huruf 0,"isi dari pasal tersebut adalah: tindak pidana oleh korporasi merupakan tindak pidana yang dilakukan oleh pengurus yang mempunyai kedudukan fungsional dalam struktur organisasi korporasi atau orang yang berdasarkan hubungan kerja atau berdasarkan hubungan lain yang bertindak untuk dan atas nama korporasi atau bertindak demi kepentingan korporasi, dalam lingkup usaha atau kegiatan korporasi tersebut, baik secara sendiri-sendiri maupun bersama-sama."
apa isi dari pasal 47 ayat (0) huruf 0,"isi dari pasal tersebut adalah: selain ketentuan sebagaimana dimaksud dalam pasal 46, tindak pidana oleh korporasi dapat dilakukan oleh pemberi perintah, pemegang kendali, atau pemilik manfaat korporasi yang berada di luar struktur organisasi, tetapi dapat mengendalikan korporasi."
apa isi dari pasal 48 ayat (0) huruf 0,"isi dari pasal tersebut adalah: tindak pidana oleh korporasi sebagaimana dimaksud dalam pasal 46 dan pasal 47 dapat dipertanggungjawabkan, jika:"
apa isi dari pasal 48 ayat (0) huruf a,isi dari pasal tersebut adalah: termasuk dalam lingkup usaha atau kegiatan sebagaimana ditentukan dalam anggaran dasar atau ketentuan lain yang berlaku bagi korporasi;
apa isi dari pasal 48 ayat (0) huruf b,isi dari pasal tersebut adalah: menguntungkan korporasi secara melawan hukum;
